Porosity,Permeability,Formation_Strength,Oil_Production_Rate,Water_Cut,Gas_Oil_Ratio,Reservoir_Pressure,Bottom_Hole_Pressure,Drawdown_Pressure,Sand_Grain_Size,Formation_Depth,Well_Age_Days,Completion_Type,Production_Rate_Change,Pressure_Decline_Rate,Sand_Production
0.23,1.44,7569.92,493.77,0.4,464.67,3152.75,2986.31,622.36,0.14,1825.74,2300.7643295962685,0,87.94,10.37,0
0.17,8.11,5634.16,714.76,0.22,670.8,3510.32,3306.65,794.88,0.11,2696.68,3170.7903760402182,0,11.22,35.05,0
0.36,2.77,8185.13,679.42,0.29,590.75,2532.78,3137.23,972.44,0.14,3121.08,1334.2921971889382,0,-64.8,65.02,0
0.11,14.14,6770.43,695.94,0.16,1061.88,3575.4,2365.2,783.06,0.09,1877.09,3192.941968846548,1,9.51,52.25,0
0.31,1.37,9193.8,745.26,0.1,877.57,3343.37,2929.86,489.6,0.2,1966.88,2860.938490634901,1,-46.78,74.76,0
0.2,3.71,6850.3,550.77,0.52,1080.3,4043.9,2498.11,726.97,0.13,1401.73,3612.811498595922,0,6.98,34.26,0
0.2,9.42,7305.72,515.76,0.35,768.14,4736.88,3186.09,707.4,0.15,3842.03,2154.3947475266477,0,4.41,37.81,0
0.29,50.0,5912.38,1308.92,0.78,1021.74,4474.84,2489.87,1662.19,0.26,2047.75,1906.913410405139,0,-186.67,84.65,1
0.13,5.12,5966.69,397.11,0.38,633.23,2943.85,2988.48,579.86,0.1,3807.63,3270.785716424226,2,-48.69,27.36,0
0.16,3.91,8573.18,496.42,0.12,670.0,3718.74,3308.93,661.44,0.2,3411.01,3647.619361653119,0,17.72,29.13,0
0.17,7.99,8800.54,481.92,0.08,499.0,2543.66,2762.1,786.71,0.09,1854.77,1618.4514251499265,0,102.24,40.01,0
0.22,3.29,10471.82,318.09,0.22,485.94,4544.86,2708.66,715.7,0.1,2655.6,1130.0606314304316,0,-24.33,73.74,0
0.2,1.18,9867.56,382.62,0.1,658.45,3660.33,3264.19,904.09,0.14,2029.47,2147.281807362867,0,4.89,82.95,0
0.19,1.88,10382.67,474.68,0.42,464.35,3978.21,3215.26,764.57,0.16,2566.7,36.22087522327192,0,-8.4,31.03,0
0.24,50.0,5349.6,969.82,0.43,1831.93,4277.44,1981.52,1487.07,0.29,1627.01,3649.330076935183,1,-17.94,120.07,1
0.25,5.09,7970.7,617.56,0.2,1101.9,3090.8,2869.94,100.0,0.18,2723.75,2863.5953011166016,1,67.55,58.55,0
0.25,15.81,10077.31,711.81,0.22,379.4,4438.45,2673.95,719.51,0.18,2475.9,981.932484181083,1,9.35,76.34,0
0.25,8.31,7548.99,496.3,0.43,694.11,3218.07,3370.6,491.84,0.08,1526.87,1309.1585345282292,0,60.95,20.03,0
0.1,3.25,8646.51,334.98,0.39,518.28,3781.65,2601.64,592.95,0.12,2427.86,1274.5311245358291,0,56.73,60.52,0
0.16,19.2,6356.24,282.99,0.41,556.16,2917.6,3379.5,754.37,0.15,2494.97,1370.678201049999,0,-30.58,45.22,0
0.23,1.86,7230.31,309.01,0.22,730.6,3436.07,2675.15,1075.29,0.17,1628.76,1466.3347443238029,1,-40.47,59.33,0
0.2,1.42,8158.66,649.47,0.04,656.45,3928.63,2417.37,579.78,0.12,2183.37,774.1306426117791,1,-18.6,64.3,0
0.31,50.0,6482.68,947.38,0.49,910.11,3818.16,2504.71,1681.19,0.31,510.19,2298.473098600769,0,-145.55,114.96,1
0.19,4.35,5682.42,577.58,0.12,808.18,3699.47,2427.54,487.92,0.18,2471.44,992.0219751442505,0,-37.53,55.66,0
0.29,1.0,5068.11,731.43,0.15,1088.55,3931.41,2043.06,700.66,0.15,1499.77,931.054460383333,1,-77.46,27.33,0
0.29,3.14,6754.89,555.1,0.29,709.95,2674.76,2833.63,541.57,0.14,2052.47,2991.306287725205,0,80.97,43.62,0
0.18,2.51,9581.93,422.93,0.23,1119.28,2797.21,3497.38,639.9,0.14,1802.81,2411.1427834695173,2,11.14,64.12,0
0.34,50.0,7498.57,981.76,0.54,1309.58,3002.2,2314.5,1335.22,0.36,1375.59,2596.20893207892,0,-73.32,50.0,1
0.18,11.58,6501.77,399.81,0.63,833.37,3821.06,2225.18,546.3,0.13,2287.1,1212.511459381725,2,126.86,38.5,0
0.13,10.06,8954.83,791.02,0.5,1094.34,4240.74,3243.4,726.64,0.15,1700.48,488.2947867209841,1,-45.29,29.92,0
0.2,1.93,9314.91,728.13,0.44,817.98,2504.94,3049.55,498.84,0.27,2730.29,797.2872749797086,1,18.92,77.54,0
0.14,15.98,9174.96,624.9,0.04,727.33,3665.28,2292.21,861.08,0.1,2584.88,1004.8806341488853,0,15.37,6.92,0
0.17,4.09,7979.75,466.41,0.16,987.87,2875.74,3018.18,937.52,0.12,2364.12,2277.439504351935,0,1.23,72.61,0
0.28,3.08,8558.12,742.4,0.23,577.83,3341.74,2932.83,503.34,0.12,2047.69,77.03994757317581,1,-32.15,45.92,0
0.16,3.5,6622.08,287.03,0.24,491.85,4027.56,2500.37,964.78,0.14,3008.95,3499.9942016596838,0,-60.35,54.86,0
0.19,12.42,10029.14,647.69,0.28,682.73,3172.99,3849.85,866.89,0.12,2212.46,3327.2329363750573,0,20.53,28.91,0
0.25,4.6,8504.11,530.12,0.54,625.62,3479.6,2811.01,604.77,0.14,3257.56,137.71627538632694,0,48.74,87.43,0
0.16,6.15,6872.98,463.66,0.34,646.85,4106.62,2712.58,516.84,0.17,2278.44,1072.2819230307657,0,-18.76,11.63,0
0.23,4.7,9039.16,286.95,0.26,514.11,2562.88,3812.21,426.07,0.16,2137.19,944.0648065896609,0,15.89,51.7,0
0.19,3.47,8087.91,98.0,0.11,1242.16,3334.58,3538.56,994.55,0.23,2732.18,1743.6819738299387,0,-87.22,63.92,0
0.26,2.27,9100.93,361.69,0.11,378.16,3067.07,3026.64,752.27,0.1,2713.65,1159.9255348978393,0,2.78,53.96,0
0.2,50.0,6285.68,668.67,0.63,1733.53,4310.68,2904.06,1458.38,0.23,2298.85,1636.2855225267817,2,-138.09,92.49,1
0.14,14.84,6229.31,534.73,0.3,709.55,3548.9,2100.21,770.76,0.12,3098.17,588.696530682583,1,-14.72,25.97,0
0.11,7.12,6130.16,356.04,0.51,398.36,2865.77,2589.93,373.21,0.18,2818.38,2732.0630111931973,2,37.5,52.94,0
0.26,50.0,5289.34,849.48,0.25,1021.83,4341.72,2055.33,1565.37,0.18,2809.6,3550.894415477167,1,-177.46,60.46,1
0.18,4.62,7710.27,565.7,0.38,1088.81,3140.3,1779.79,570.8,0.12,2502.28,3042.079799668783,1,-19.74,55.08,0
0.28,50.0,6106.26,952.8,0.39,1014.98,3535.39,2821.88,1330.85,0.24,1617.9,1048.3168310354636,1,5.6,116.5,1
0.1,1.0,6803.77,315.62,0.18,1151.5,4276.9,2381.54,821.77,0.17,2313.63,2537.9717490629746,1,100.99,23.61,0
0.24,2.71,10236.75,583.97,0.23,543.86,3211.99,2317.79,685.9,0.18,3522.86,2959.3600468350414,1,-19.48,67.37,0
0.31,50.0,6488.86,760.63,0.52,1014.97,3111.55,2491.74,1954.28,0.19,1702.19,770.7071366434309,1,-154.01,147.63,1
0.23,3.73,8338.68,810.89,0.38,610.4,3475.19,2628.04,962.85,0.2,2227.53,1764.8322136303739,1,-38.17,30.9,0
0.21,20.16,6570.26,229.88,0.22,619.95,3060.67,2854.62,450.7,0.17,2232.85,1030.6788662314684,1,-33.84,71.61,0
0.19,4.15,7968.62,461.51,0.0,599.35,3734.88,3421.57,852.79,0.15,3206.01,2255.5936788882505,0,19.4,62.95,0
0.3,3.76,10289.32,370.79,0.43,621.35,3806.77,2950.83,783.92,0.16,1809.14,267.2081957388884,0,47.18,58.48,0
0.15,5.44,7374.1,588.97,0.22,808.9,3302.14,2660.04,621.91,0.16,3103.91,3001.060597622227,2,-47.39,49.25,0
0.19,125.63,5576.85,564.71,0.31,1423.81,4470.72,2455.69,2333.08,0.13,2027.04,639.2797838952512,1,-117.23,77.89,1
0.21,17.79,10392.38,269.87,0.35,1085.28,3145.43,3836.59,789.63,0.17,2573.86,2295.18855241801,0,30.11,63.42,0
0.2,5.98,8805.21,452.61,0.35,957.69,4492.49,2394.69,763.39,0.18,2336.23,27.64500264709023,1,-49.07,58.56,0
0.34,3.05,5592.94,165.55,0.25,730.58,3878.27,2544.3,361.6,0.23,2889.11,3368.983834386172,0,24.47,33.47,0
0.25,9.78,6727.43,504.82,0.37,1328.95,3211.91,2427.77,761.93,0.21,2224.01,695.8146262089385,2,-70.82,68.48,0
0.21,7.69,9235.04,578.1,0.31,688.55,4220.29,2946.58,887.04,0.18,2826.46,390.6103980311357,0,32.86,28.54,0
0.3,50.0,5259.58,631.48,0.33,1281.3,4109.24,2998.32,1322.34,0.33,2650.6,2076.5077033487223,1,-95.67,111.89,1
0.22,2.87,7248.23,529.61,0.1,622.87,1920.46,2689.75,587.94,0.13,2418.07,1674.3851022311258,0,30.79,34.38,0
0.35,50.0,5298.47,632.14,0.34,1134.28,3569.54,2346.81,1311.35,0.22,2699.45,1849.7433098391098,1,-136.65,185.16,1
0.21,5.48,6161.7,541.18,0.39,971.75,2537.77,2032.05,703.55,0.13,1786.58,1278.838571808082,0,8.59,58.21,0
0.25,4.44,7303.4,523.53,0.14,854.75,3230.29,3681.3,483.78,0.16,2454.31,2480.449162590787,0,26.53,57.78,0
0.31,3.84,9888.33,639.93,0.28,381.66,3601.84,2672.17,969.22,0.05,3208.49,2084.0773956000894,1,66.47,28.75,0
0.27,2.75,9135.96,442.99,0.12,1061.17,3976.47,3188.07,582.29,0.11,3196.57,2517.4011762548453,0,68.9,72.85,0
0.14,2.78,8292.45,415.8,0.36,886.4,3150.53,1650.92,778.0,0.19,2141.79,1786.41178714637,1,26.48,39.34,0
0.23,13.03,8143.19,812.94,0.23,428.1,3584.89,3541.53,929.11,0.19,2156.14,703.5578163831705,0,-10.83,19.02,0
0.13,1.96,6750.71,560.98,0.31,632.27,3666.42,3769.4,539.07,0.07,3230.64,3631.310643274195,0,-18.2,85.51,0
0.38,50.0,4579.49,1043.91,0.72,1376.68,4766.25,3318.57,2049.65,0.18,2179.82,1056.565235601474,1,-86.45,64.73,1
0.36,50.0,5173.45,772.99,0.65,1175.75,3754.24,2194.6,1263.87,0.34,2034.43,2194.4232007778573,0,-127.09,124.67,1
0.19,10.31,8131.04,831.21,0.29,1021.28,3511.86,2665.91,976.38,0.18,2888.53,3288.852805603161,1,-19.72,50.44,0
0.18,4.16,7099.49,588.02,0.2,722.77,3234.09,2576.29,593.33,0.14,1971.71,3199.622700825699,0,43.88,49.65,0
0.23,5.74,6748.49,569.81,0.48,965.33,2883.16,3756.12,604.93,0.18,2423.62,2210.8092919306255,0,93.62,28.17,0
0.16,4.26,10016.43,138.12,0.56,1238.09,3525.87,2445.11,499.08,0.06,2359.88,1972.2477003907657,0,-32.84,26.11,0
0.26,3.42,10337.52,562.9,0.26,880.8,4604.03,3124.74,857.27,0.17,2734.6,2807.0221973739826,0,56.76,46.77,0
0.21,8.77,8378.29,447.73,0.18,494.25,3574.39,2696.05,605.07,0.12,2299.93,1569.9135215983629,0,24.42,60.58,0
0.14,1.0,8274.37,565.52,0.2,1270.09,3997.16,3122.35,724.14,0.18,2139.78,616.9064182465938,1,-38.12,49.21,0
0.17,3.4,3549.87,306.89,0.21,542.76,4407.18,3262.74,680.92,0.19,2898.99,89.87553259204239,1,-18.33,48.76,0
0.23,2.55,8116.38,727.44,0.24,797.28,3603.09,2552.79,775.98,0.1,2848.52,353.59915319559997,1,34.13,58.31,0
0.2,7.29,6705.22,545.27,0.32,691.58,4813.14,3762.27,858.71,0.21,2123.66,2714.5976565541127,0,3.89,42.56,0
0.22,10.56,8842.21,485.0,0.55,909.1,3713.97,2657.03,777.14,0.14,2239.34,2644.896151501896,1,-3.47,71.37,0
0.23,3.13,6034.03,708.8,0.06,1079.03,2824.5,3098.75,465.68,0.14,2930.61,3015.616012031028,0,47.69,82.42,0
0.22,8.9,8833.74,866.27,0.5,1074.17,2751.41,3041.15,720.33,0.22,3282.38,2579.999022195525,1,-5.14,28.49,0
0.15,5.97,7341.73,719.63,0.63,253.74,3237.43,2864.75,646.81,0.18,1990.77,284.0186658651241,0,-9.67,39.58,0
0.25,2.81,9777.51,433.78,0.27,981.36,4249.52,3397.9,632.17,0.23,1365.13,2622.1805620917085,1,-25.57,54.64,0
0.18,4.69,8046.21,426.47,0.35,761.15,3698.81,2664.34,425.01,0.13,2140.3,3638.3640801666097,1,-52.62,75.23,0
0.14,4.47,8861.58,753.32,0.08,945.91,4181.92,2503.43,536.94,0.18,2334.23,368.05521024016093,1,-13.98,73.99,0
0.23,10.18,8579.25,697.41,0.47,442.32,2915.9,3151.76,910.14,0.15,2212.17,329.5453137438302,0,37.34,49.46,0
0.25,1.03,5130.72,456.11,0.19,1092.68,3105.58,2730.09,853.12,0.21,1780.15,2164.598846849223,1,-55.06,17.76,0
0.19,4.43,10054.8,327.01,0.07,574.51,3251.47,2598.66,742.96,0.25,1770.51,3173.807965473025,1,27.44,44.16,0
0.12,4.58,7011.46,634.74,0.07,870.48,3557.65,2729.61,540.95,0.18,2000.88,3024.5858564787013,0,-25.31,36.29,0
0.19,3.49,9019.07,485.86,0.14,317.15,2764.98,3163.11,753.25,0.16,2560.39,1229.9699057718944,0,-16.93,79.9,0
0.18,4.72,9138.52,726.61,0.54,834.7,4356.45,2539.18,858.51,0.08,3210.39,1494.0979017499321,0,-65.49,85.45,0
0.24,13.95,7890.77,734.59,0.47,624.42,3344.35,3564.94,886.74,0.09,2340.64,3030.861607518204,1,-25.82,55.18,0
0.18,2.88,7742.76,549.79,0.27,1033.25,3214.7,2169.04,604.63,0.2,2016.21,564.9457825669382,0,28.98,58.75,0
0.19,5.73,7030.64,483.44,0.15,1081.7,3845.76,2521.16,603.89,0.19,2173.41,3174.4697727198695,0,-10.25,76.46,0
0.17,147.23,5132.15,631.17,0.21,1884.06,3905.41,2430.78,1775.57,0.3,3039.63,2218.0022786399177,1,-115.3,201.54,1
0.17,2.66,9276.47,801.64,0.25,976.26,3047.67,2381.5,977.3,0.12,2285.59,3004.511022400785,0,65.19,26.16,0
0.18,1.89,7187.57,523.34,0.23,515.22,3835.6,3109.96,933.87,0.17,2805.99,1027.5434980504588,1,2.01,49.3,0
0.13,1.0,7423.73,678.37,0.37,817.9,3950.76,3092.24,718.47,0.14,3498.08,573.1493905929665,1,61.53,43.06,0
0.2,5.02,6510.7,637.88,0.43,951.6,3774.15,2179.51,540.43,0.17,2831.0,2684.7930192682616,1,-72.34,52.19,0
0.19,7.24,9057.18,639.33,0.43,100.0,3606.97,4291.13,568.2,0.16,1689.18,3426.3096247503104,2,18.02,15.46,0
0.23,3.85,8770.28,271.48,0.41,1034.56,3703.25,2888.56,893.74,0.14,2438.58,1098.6055536166016,0,-12.42,26.67,0
0.16,7.04,9057.72,485.73,0.36,691.99,3373.63,2710.0,459.76,0.25,2289.62,932.860030418361,1,88.49,43.26,0
0.23,5.6,7981.96,435.62,0.38,1102.07,3305.29,2707.76,742.66,0.18,3510.91,1831.4097352715216,0,26.83,41.97,0
0.16,10.72,6155.76,594.16,0.4,967.36,3332.78,3001.12,850.88,0.16,3030.09,1036.19919558294,0,76.2,53.73,0
0.14,1.0,7417.28,656.1,0.25,1462.89,4004.44,2543.82,804.78,0.12,2495.57,2208.635783993164,1,-9.62,49.12,0
0.2,9.61,9467.0,320.43,0.4,430.43,3554.97,3381.06,827.57,0.1,2407.1,1601.0660345782608,0,-81.8,51.63,0
0.18,4.88,6719.12,536.81,0.44,324.95,3211.4,3338.41,717.21,0.13,2734.66,1396.7856566744397,1,53.73,35.65,0
0.28,50.0,5033.05,812.84,0.54,2077.98,4774.46,2632.38,1400.58,0.32,2025.89,571.1874123755902,1,-94.42,66.21,1
0.23,9.72,5659.74,149.61,0.19,270.34,3858.85,2629.71,803.35,0.16,3056.11,452.0084831183666,1,-15.08,48.94,0
0.2,3.6,6540.76,495.57,0.39,930.69,3584.7,2519.24,606.14,0.21,2781.64,2288.9222490499756,1,111.31,82.55,0
0.19,14.62,8910.14,310.27,0.28,711.21,2773.18,2829.56,896.26,0.14,2363.34,2745.4037842284542,0,9.53,38.39,0
